Datetime,header,id,temperature
7/26/24 11:03,1,28af1394,21.5
7/26/24 11:08,1,28af1394,21.5
7/26/24 11:13,1,28af1394,21.4375
7/26/24 11:18,1,28af1394,21.5
7/26/24 11:23,1,28af1394,21.5625
7/26/24 11:28,1,28af1394,21.5625
7/26/24 11:33,1,28af1394,21.5
7/26/24 11:38,1,28af1394,21.5
7/26/24 11:43,1,28af1394,21.5625
7/26/24 11:48,1,28af1394,21.625
7/26/24 11:53,1,28af1394,21.625
7/26/24 11:57,1,28af1394,21.6875
7/26/24 12:02,1,28af1394,21.75
7/26/24 12:07,1,28af1394,21.6875
7/26/24 12:12,1,28af1394,21.6875
7/26/24 12:17,1,28af1394,21.6875
7/26/24 12:22,1,28af1394,21.6875
7/26/24 12:27,1,28af1394,21.6875
7/26/24 12:32,1,28af1394,21.6875
7/26/24 12:37,1,28af1394,21.625
7/26/24 12:42,1,28af1394,21.6875
7/26/24 12:47,1,28af1394,21.6875
7/26/24 12:51,1,28af1394,21.6875
7/26/24 12:56,1,28af1394,21.6875
7/26/24 13:01,1,28af1394,21.6875
7/26/24 13:06,1,28af1394,21.6875
7/26/24 13:11,1,28af1394,21.6875
7/26/24 13:16,1,28af1394,21.6875
7/26/24 13:21,1,28af1394,21.6875
7/26/24 13:26,1,28af1394,21.6875
7/26/24 13:31,1,28af1394,21.75
7/26/24 13:36,1,28af1394,21.75
7/26/24 13:41,1,28af1394,21.8125
7/26/24 13:45,1,28af1394,21.8125
7/26/24 13:50,1,28af1394,21.8125
